C09486	C00003308
C10871	C00002619;C00033300
C16435	-
C19041	-
C02882	-
C16551	-
C11340	-
C19642	-
C07753	-
C19307	-
C00185	-
C08426	C00001487
C01756	-
C18499	-
C17667	-
C18502	-
C02474	-
C21710	-
C07653	-
C09583	C00003388
C20043	-
C05138	-
C21192	-
C11762	-
C09187	C00001727
C22087	-
C01502	C00002654;C00029459
C09228	C00001753
C19810	-
C01152	-
C05489	-
C17572	-
C16592	-
C17351	-
C01444	-
C11568	-
C07448	-
C19103	-
C03384	C00007391
C06173	C00001924
C11717	-
C09237	C00001765
C05474	-
C09750	C00003204
C16729	-
C01432	-
C17717	-
C14723	C00018369
C16480	-
C20415	-
C04615	-
C04847	-
C00332	C00007269
C05488	-
C11552	-
C10088	C00002970
C21354	-
C15948	-
C14181	-
C10937	-
C02802	-
C11638	-
C06002	-
C15092	-
C16364	-
C13106	-
C05031	-
C03600	-
C17514	C00029277
C20229	-
C20343	-
C02741	-
C09911	C00011054;C00003066
C21655	-
C10396	C00002119
C21305	-
C02419	-
C03682	-
C19870	-
C05924	C00000774
C18301	-
C16525	-
C13482	-
C14415	-
C15961	-
C19228	-
C19175	-
C12836	-
C14629	-
C04105	-
C16408	C00007915
C00524	-
C11737	-
C21721	-
C12038	C00029246
C00143	C00007250
C05721	-
C01742	-
C05655	-
C08106	-
C03012	-
C21481	-
C09289	C00012893
C10353	C00002102
C17790	C00026123
C19788	C00042156
C12183	C00037569
C00034	-
C15085	-
C15290	-
C14722	-
C18608	-
C16445	-
C05208	-
C08269	C00001345
C07763	-
C18366	-
C02321	-
C07677	-
C20642	-
C09748	C00003202
C05848	-
C08609	C00003783
C05986	-
C15388	-
C00750	C00001432
C16512	-
C17093	-
C02991	-
C02502	C00007405
C15382	-
C04336	-
C04036	-
C08795	C00003684
C09581	C00001885
C00605	-
C00596	-
C10458	C00002745
C10483	C00002765
C20453	-
C19624	-
C21595	-
C08541	C00001585
C11860	-
C03944	-
C12405	-
C05413	C00000905
C03589	-
C18452	-
C14776	-
C07536	-
C20690	-
C16462	-
C16260	-
C09537	C00003358
C15542	-
C02378	-
C09663	C00000163
C10374	C00002843
C21736	-
C15602	-
C21032	-
C05332	C00001426
C06446	C00027914
C14808	-
C01120	-
C11765	-
C20803	-
C12139	C00006722
C13044	-
C03794	C00007229
C09256	C00001789
C15884	C00023013
C17605	C00030611
C08893	C00003570
C03319	-
C17793	-
C11817	C00026848
C07576	-
C16305	C00006636
C08046	-
C16359	-
C08799	C00003688
C16467	-
C20360	-
C03643	-
C08103	-
C20595	-
C02612	-
C09597	C00001896
C10485	C00002767
C14774	-
C15255	-
C10660	C00002151
C09236	C00001764
C08076	-
C07240	-
C14448	-
C04789	-
C17346	-
C01433	C00003088
C12215	-
C18782	-
C11002	-
C19577	-
C17659	-
C14405	-
C10893	C00002634
C11827	-
C14667	-
C13784	-
C06911	-
C18562	-
C20166	-
C03687	-
C01673	-
C06158	-
C08777	C00003725
C15002	-
C18456	-
C05979	-
C07600	C00001242
C06417	-
C06560	-
C22014	-
C01898	-
C16190	-
C18838	-
C09492	C00003314
C21365	-
C19998	-
C19650	-
C11523	C00007321
C08717	C00001004
C14901	-
C05773	-
C10152	C00002047
C00395	-
C08718	C00002384
C01171	-
C11635	C00025193
C14797	-
C12355	-
C08750	C00003700
C16765	C00029979
C17109	C00010463
C08521	C00001565
C12154	C00045299;C00044747
C12842	-
C21467	-
C04660	-
C00255	C00001552
C00563	C00017972
C18141	-
C04861	-
C00392	C00001165
C01196	-
C18280	-
C12316	-
C11681	-
C22198	-
C08577	C00008031
C18631	-
C01024	C00007374
C16045	-
C07714	-
C02763	-
C20569	-
C05175	C00026095
C07639	-
C06777	C00016803
C05771	-
C03263	C00007284
C14214	-
C00747	-
C17230	C00007650
C21737	-
C10895	-
C20183	-
C05663	C00001540
C07049	-
C07221	-
C07285	-
C04233	-
C11919	-
C08691	C00001647
C14530	-
C11660	-
C00296	C00001201
C17471	-
C19969	-
C21701	-
C18333	-
C09254	C00001787
C19375	-
C05086	C00001517
C04752	C00007609
C19515	C00021448
C10921	-
C03219	-
C20773	-
C08791	C00003680
C22217	-
C10908	-
C05294	-
C21869	-
C21593	-
C19440	-
C09867	C00001940
C16839	C00042300
C00571	C00044142
C18953	-
C22062	-
C01829	-
C11227	-
C19222	-
C13254	-
C11527	-
C12554	-
C20629	-
C20910	-
C18774	-
C18814	-
C10132	C00002023
C04352	C00019633
C10829	C00002270
C00619	-
C11771	-
C17022	-
C21312	-
C08342	C00001457
C19310	-
C16054	-
C21422	-
C03189	-
C06059	-
C12225	C00044274
C15560	-
C17490	C00020430
C19446	-
C11601	-
C17163	-
C18091	-
C14788	-
C18541	-
C02211	-
C21913	-
C00494	-
C06029	-
C08104	-
C20962	-
C05681	-
C01594	C00001446
C00995	-
C09555	C00001875
C15071	-
C03866	-
C18274	-
C10176	C00004634
C11351	-
C16308	-
C20082	-
C01937	-
C15417	-
C22079	-
C01066	-
C05927	-
C21091	-
C17800	-
C20991	-
C16972	C00025175
C03003	-
C18406	-
C00191	C00001123
C06857	-
C14505	-
C17574	-
C16347	-
C00667	-
C02231	-
C00275	-
C03451	-
C19908	-
C08899	C00003577
C01723	-
C10161	C00002058
C17255	-
C21195	-
C20865	-
C12463	-
C17788	C00004688
C04106	-
C08909	C00003587
C17703	C00018398
C17094	C00007453
C12280	-
C08129	-
C15719	-
C00669	C00007507
C16679	-
C19889	-
C15586	-
C21494	-
C02655	-
C13621	-
C14483	-
C19270	-
C22136	-
C18808	-
C11673	C00010564
C09606	C00003397
C13821	-
C17383	-
C16526	C00035628
C09742	C00003196
C04848	-
C08757	C00003707
C18465	-
C04108	-
C01985	-
C10286	C00002084
C04133	-
C20386	-
C02096	-
C18391	-
C05336	-
C08568	C00001607
C19780	-
C15387	-
C07325	-
C13494	-
C01865	-
C00933	C00002777
C18439	-
C21945	-
C17847	C00000726
C19171	-
C08792	C00003681
C14059	C00018744
C06273	-
C05427	C00007255
C04171	C00000737
C12459	-
C02717	C00025334;C00000660;C00035142
C16281	-
C22028	-
C06383	-
C09155	C00003465
C01474	C00002785
C05676	-
C01387	C00035857
C01086	-
C03338	-
C11033	-
C05750	-
C17018	-
C10624	C00002368
C09547	C00003366
C19863	-
C19467	-
C09767	C00003070
C00305	-
C05830	-
C08902	C00003580
C02008	-
C20387	-
C20853	-
C19265	-
C16785	C00000567
C05111	-
C17941	-
C13701	-
C04580	-
C16350	C00006820
C18588	-
C21378	-
C10416	C00006180
C15536	C00018630
C10477	C00002759
C17884	-
C14444	-
C01850	C00002770
C06601	-
C21529	-
C17441	C00031071
C21877	-
C19752	-
C04382	-
C19773	-
C06348	C00047850
C10448	C00002736
C13740	-
C09803	C00008706
C14641	-
C19245	-
C14312	-
C20296	-
C19915	-
C09215	C00001742
C16528	-
C12050	-
C02334	-
C11163	-
C06409	-
C00904	-
C00393	-
C16663	-
C07675	-
C14187	-
C16989	C00008193
C03113	-
C14535	-
C16563	-
C16656	-
C04663	-
C18510	-
C15680	C00018282
C11116	-
C11067	-
C20985	-
C13620	-
C19204	-
C18918	-
C19568	-
C18012	-
C19329	-
C05276	-
C00164	C00007458
C02906	C00000938
C10497	C00002780
C07361	-
C10407	C00002867
C10408	C00002122
C10696	C00002173
C01349	-
C10515	C00002560
C12474	-
C18563	-
C16140	-
C21417	-
C06176	C00002116
C13848	-
C05683	-
C20041	-
C19359	-
C06238	-
C10242	C00002939
C12434	-
C08059	-
C08731	C00002390
C18459	-
C17009	-
C19231	-
C10879	C00002623
C11979	-
C07827	-
C09880	C00000805
C05779	-
C19769	-
C09608	C00001902
C15481	-
C21675	-
C02150	-
C02766	C00007465
C16933	-
